address,duplicate_address,code geographique,nom du territoire,CUBF,serial_number,lin_dim,area,max_num_floor,construction year,year_real_esti,floor_area,code_phys_conn,type_const,num_dwell,num_rental,num_non_res,value_prop,code_arrondissement,nom_arrondissement
840 870 rue GIROUX,9999,52035,Berthierville,7451,2805 51 0965,182.88,11703.6,1,9999,9999,9999.0,9999,9999,9999,9999,3,3573700,9999,9999
661 671 rue LAFERRIERE,9999,52035,Berthierville,7433,2904 59 3330,92.12,9793.3,1,2010,R,145.3,1,9999,9999,9999,1,680700,9999,9999
670 rue LAFERRIERE,9999,52035,Berthierville,7422,2905 40 0417,141.34,12638.9,1,1972,R,226.6,1,9999,9999,9999,1,466500,9999,9999
rue DE BIENVILLE,9999,52035,Berthierville,7611,3005 07 5811,38.5,1114.9,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,10400,9999,9999
chemin du LAC-ARPIN,9999,78015,Lantier,7611,4410 35 7168,107.76,13156.8,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,100,9999,9999
chemin des MERISIERS,9999,78015,Lantier,7611,4517 61 6363,31.7,5547.6,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,100,9999,9999
chemin des BUISSONS,9999,78015,Lantier,7611,4517 73 6896,37.36,3067.0,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,100,9999,9999
chemin des BUISSONS,9999,78015,Lantier,7611,4517 74 5237,37.82,2260.0,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,100,9999,9999
croissant des TROIS-LACS,9999,78015,Lantier,7611,4612 66 3209,123.9,9502.7,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,100,9999,9999
chemin de la SOURCE,9999,78015,Lantier,7611,4612 83 8516,53.31,13150.6,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,100,9999,9999
chemin du Quai-Public,9999,85015,Saint-Édouard-de-Fabre,7499,1128 35 6843,30.48,929.0,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,16500,9999,9999
1559 route 101,9999,85015,Saint-Édouard-de-Fabre,7499,1134 93 7969,219.46,16560.7,9999,9999,9999,9999.0,9999,9999,9999,9999,1,95700,9999,9999
1331 rue Principale,9999,85015,Saint-Édouard-de-Fabre,7451,1428 76 4505,73.76,6363.4,2,1996,R,1.0,1,1,9999,9999,1,677400,9999,9999
820 rue SAINT-JOSEPH,9999,42055,Valcourt,7219,9740 23 8532,9999.0,4203.1,1,1957,R,564.2,1,9999,9999,9999,5,589000,9999,9999
993 rue SAINT-JOSEPH,9999,42055,Valcourt,7425,9740 40 6172,21.13,1588.7,1,1966,R,296.0,1,9999,9999,9999,1,230800,9999,9999
1111 boulevard des CYPRES,9999,42055,Valcourt,7451,9839 36 0670,35.33,42425.7,1,9999,9999,9999.0,9999,9999,9999,9999,1,2895400,9999,9999
boulevard des CYPRES,9999,42055,Valcourt,7423,9839 38 3576,9999.0,10319.2,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,92500,9999,9999
975 boulevard des CYPRES,9999,42055,Valcourt,7239,9840 21 1028 001,9999.0,9999.0,1,1990,R,220.2,1,9999,9999,9999,1,186500,9999,9999
950 rue CHAMPETRE,9999,42055,Valcourt,7433,9840 51 5040,71.03,17553.4,1,9999,9999,9999.0,9999,9999,9999,9999,1,397900,9999,9999
900 rue CHAMPETRE,9999,42055,Valcourt,7433,9840 51 5040 003,9999.0,9999.0,1,1981,R,130.8,1,9999,9999,9999,2,91200,9999,9999
boulevard des ERABLES,9999,42055,Valcourt,7611,9840 78 5649,9.24,352.0,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,6600,9999,9999
rue YVONNE L. BOMBARDIER,9999,42055,Valcourt,7611,9840 87 4231,15.24,3083.9,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,37200,9999,9999
place de la SAMARE,9999,42055,Valcourt,7611,9840 88 3431,51.82,2026.7,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,43300,9999,9999
280 avenue SAINT-JACQUES,9999,27060,Tring-Jonction,7424,6625 64 4042,61.66,17700.0,1,1974,R,116.4,1,1,9999,9999,1,621300,9999,9999
277 rue PLOURDE,9999,7030,Saint-Léon-le-Grand,7424,0460 30 1877,257.78,18370.5,1,1945,R,163.4,1,9999,9999,9999,1,175300,9999,9999
3 rue HERVE,9999,67050,Châteauguay,7421,8320 16 0827,15.24,14002.0,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,92400,9999,9999
195 boulevard BRISEBOIS,9999,67050,Châteauguay,7425,8322 69 8483,182.83,34376.7,1,2019,R,9965.9,1,9999,9999,9999,2,21935900,9999,9999
255 boulevard BRISEBOIS,9999,67050,Châteauguay,7451,8322 85 8174,110.21,44378.6,1,1973,R,9999.0,9999,9999,9999,9999,1,12360600,9999,9999
215 rue PRINCIPALE,9999,67050,Châteauguay,7429,8323 79 3619,8.49,4899.2,9999,1980,E,9999.0,1,9999,9999,9999,9999,175000,9999,9999
135 rue SAINT-DENIS,9999,67050,Châteauguay,7423,8323 88 7902,149.45,3950.8,1,1971,R,44.5,1,9999,9999,9999,1,173200,9999,9999
617 boulevard D'YOUVILLE,9999,67050,Châteauguay,7421,8326 20 5598,104.22,9209.2,1,2004,R,9999.0,1,9999,9999,9999,9999,13300,9999,9999
540 boulevard D'YOUVILLE,9999,67050,Châteauguay,7444,8326 77 1179,26.93,3644.7,1,2009,R,9999.0,9999,9999,9999,9999,1,904800,9999,9999
480 boulevard D'YOUVILLE,9999,67050,Châteauguay,7239,8327 83 4703 9000,64.85,2715.6,1,2006,R,1166.6,1,9999,9999,9999,1,1634700,9999,9999
480 boulevard D'YOUVILLE,9999,67050,Châteauguay,7239,8327 83 4703 9001,64.85,6489.9,1,2006,R,1166.6,1,9999,9999,9999,1,4326500,9999,9999
rue JULES-DUMOUCHEL,9999,67050,Châteauguay,7422,8423 33 2170,114.25,6899.7,9999,2014,R,9999.0,1,9999,9999,9999,9999,764700,9999,9999
160 rue LAMARTINE,9999,67050,Châteauguay,7422,8424 05 2707,404.19,43391.5,1,1972,R,42.8,1,9999,9999,9999,1,1168100,9999,9999
80 rue FAUBERT,9999,67050,Châteauguay,7421,8424 77 1615,49.88,6244.0,9999,1990,R,9999.0,1,9999,9999,9999,9999,189300,9999,9999
84 boulevard D'YOUVILLE,9999,67050,Châteauguay,7421,8424 98 6070,1493.75,12100.2,9999,1990,R,9999.0,1,9999,9999,9999,9999,366300,9999,9999
65 rue JEANNE-D'ARC,9999,67050,Châteauguay,7422,8425 29 9731,50.23,13683.7,9999,1990,E,9999.0,1,9999,9999,9999,9999,411000,9999,9999
85 boulevard D'YOUVILLE,9999,67050,Châteauguay,7423,8425 71 2145,145.63,21573.1,1,1976,R,62.1,1,9999,9999,9999,1,637900,9999,9999
rue SAINT-JEAN,9999,67050,Châteauguay,7421,8425 89 2684,91.66,7712.1,9999,2017,E,9999.0,1,9999,9999,9999,9999,300400,9999,9999
99 101 rue NOTRE-DAME N,9999,67050,Châteauguay,7425,8426 31 6668,57.91,3433.9,1,1953,R,9999.0,9999,9999,1,9999,1,963600,9999,9999
267 boulevard D'YOUVILLE,9999,67050,Châteauguay,7421,8426 80 4075,31.53,4249.3,1,2017,R,9999.0,1,9999,9999,9999,9999,153100,9999,9999
110 boulevard PRIMEAU,9999,67050,Châteauguay,7421,8523 08 6685,184.95,11291.4,1,1965,R,58.6,1,9999,9999,9999,1,387800,9999,9999
105 boulevard PRIMEAU,9999,67050,Châteauguay,7422,8523 19 7929,92.91,13694.7,9999,1969,E,9999.0,1,9999,9999,9999,9999,378200,9999,9999
15 chemin de la HAUTE-RIVIERE,9999,67050,Châteauguay,7422,8524 55 9807,131.25,5203.5,9999,1980,R,9999.0,1,9999,9999,9999,9999,945700,9999,9999
139 boulevard SALABERRY S,9999,67050,Châteauguay,7611,8524 72 2271,122.5,11676.4,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,642200,9999,9999
55 rue VINCENT,9999,67050,Châteauguay,7422,8524 79 6999,131.02,14818.6,9999,1981,E,9999.0,1,9999,9999,9999,9999,413300,9999,9999
85 91 boulevard SALABERRY N,9999,67050,Châteauguay,7423,8525 06 6812,274.56,24129.1,1,1968,R,9999.0,9999,9999,9999,9999,1,2343100,9999,9999
29 rue PELLETIER,9999,67050,Châteauguay,7421,8528 60 1200,164.59,20568.7,1,1985,E,30.3,1,9999,9999,9999,9999,562000,9999,9999
240 rue ALBERT,9999,67050,Châteauguay,7421,8623 22 6891,212.05,8234.1,1,1980,R,9999.0,1,9999,9999,9999,9999,316600,9999,9999
180 rue CARTIER,9999,67050,Châteauguay,7421,8623 70 5435,195.43,11077.8,9999,1980,R,9999.0,1,9999,9999,9999,9999,316500,9999,9999
146 rue PARKVIEW,9999,67050,Châteauguay,7422,8623 84 0873,29.57,13030.3,1,1966,R,57.7,1,9999,9999,9999,1,560900,9999,9999
75 boulevard MAPLE,9999,67050,Châteauguay,7499,8624 48 7403,26.57,19699.7,1,1969,R,2755.3,1,9999,9999,9999,1,5981000,9999,9999
111 boulevard MAPLE,9999,67050,Châteauguay,7432,8624 58 1565,66.45,4339.8,1,1984,R,1207.8,1,9999,9999,9999,1,2461300,9999,9999
150 rue de VILLE-MARIE,9999,67050,Châteauguay,7423,8624 96 5489,9999.0,9999.0,1,1993,R,237.8,1,9999,9999,9999,1,564000,9999,9999
156 rue LANGLOIS E,9999,67050,Châteauguay,7421,8625 22 6645,38.21,3605.9,9999,2016,R,9999.0,1,9999,9999,9999,9999,130000,9999,9999
245 boulevard MAPLE,9999,67050,Châteauguay,7421,8625 28 2652,48.21,25819.5,1,1990,E,9999.0,1,9999,9999,9999,9999,732000,9999,9999
175 rue du BOISE,9999,67050,Châteauguay,7421,8626 67 9365,119.8,14026.3,9999,1980,R,9999.0,1,9999,9999,9999,9999,381800,9999,9999
179 rue HAENDEL,9999,67050,Châteauguay,7421,8722 49 0670,41.35,3513.7,9999,1983,R,9999.0,1,9999,9999,9999,9999,125100,9999,9999
114 rue de LAVAL,9999,67050,Châteauguay,7421,8723 20 2298,60.76,3744.9,9999,2000,R,9999.0,1,9999,9999,9999,9999,220800,9999,9999
80 rue SAINT-FERDINAND,9999,67050,Châteauguay,7422,8723 27 3258,119.38,12087.3,1,1967,R,57.7,1,9999,9999,9999,1,435400,9999,9999
200 rue DUBOIS,9999,67050,Châteauguay,7421,8724 01 8943,134.38,9020.9,9999,2020,R,9999.0,1,9999,9999,9999,9999,275000,9999,9999
rue BELL,9999,67050,Châteauguay,7429,8724 06 5087,120.16,64060.8,9999,1980,R,9999.0,1,9999,9999,9999,9999,8232300,9999,9999
237 rue RANDILL,9999,67050,Châteauguay,7421,8724 45 4702,57.91,3000.7,9999,1985,E,9999.0,1,9999,9999,9999,9999,110000,9999,9999
399 rue DUNVER,9999,67050,Châteauguay,7421,8724 78 6162,37.19,3121.7,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,108000,9999,9999
303 rue RIDEAU,9999,67050,Châteauguay,7423,8725 18 7058,98.0,17537.0,1,1975,E,9999.0,1,9999,9999,9999,9999,503000,9999,9999
85 rue CRAIK,9999,67050,Châteauguay,7423,8725 63 8419,262.73,32727.7,1,2000,R,9999.0,9999,9999,9999,9999,9999,1796500,9999,9999
395 rue WOODBINE,9999,67050,Châteauguay,7421,8725 96 2325,60.38,11590.6,9999,9999,R,9999.0,1,9999,9999,9999,9999,328300,9999,9999
42 rue LARAMEE,9999,67050,Châteauguay,7421,8823 19 7256,34.59,706.4,9999,1980,E,9999.0,1,9999,9999,9999,9999,37100,9999,9999
41 boulevard SAINTE-MARGUERITE,9999,67050,Châteauguay,7423,8823 29 6921,130.92,7998.8,1,1967,R,57.7,1,9999,9999,9999,1,303800,9999,9999
280 boulevard DE GAULLE,9999,67050,Châteauguay,7422,8823 30 9599,208.71,13048.9,1,1978,R,83.5,1,9999,9999,9999,1,589700,9999,9999
51 rue LARAMEE,9999,67050,Châteauguay,7422,8824 20 5627,40.62,4011.6,9999,1980,E,9999.0,1,9999,9999,9999,9999,203600,9999,9999
260 boulevard ALBERT-EINSTEIN,9999,67050,Châteauguay,7421,8824 67 0747,78.57,25049.3,9999,1981,R,9999.0,1,9999,9999,9999,9999,661600,9999,9999
47 boulevard SAINT-JEAN-BAPTISTE,9999,67050,Châteauguay,7425,8825 10 1558,66.35,7527.9,1,1985,R,1787.2,1,9999,9999,9999,2,2660800,9999,9999
chemin JACQUES-CARTIER NORD,9999,22035,Stoneham-et-Tewkesbury,7419,3314 95 1049,807.04,951957.6,1,9999,9999,9999.0,9999,9999,9999,9999,1,447800,9999,9999
3150 route de TEWKESBURY,3175 route de TEWKESBURY,22035,Stoneham-et-Tewkesbury,7459,3412 24 8506,248.75,29068.7,1,9999,9999,9999.0,9999,9999,9999,9999,1,520100,9999,9999
1100 chemin de la GRANDE-LIGNE,9999,22035,Stoneham-et-Tewkesbury,7499,3603 80 3901,9999.0,200048.2,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,59800,9999,9999
109 chemin du PARC,9999,22035,Stoneham-et-Tewkesbury,7433,3706 14 9488,273.81,23591.69,1,2000,R,74.2,1,1,9999,9999,1,200,9999,9999
620 chemin du HIBOU 22,9999,22035,Stoneham-et-Tewkesbury,7399,3710 62 4143 001 0031,9999.0,554.98,1,1993,R,304.6,9999,9999,9999,9999,2,233900,9999,9999
2694 boulevard TALBOT 107,9999,22035,Stoneham-et-Tewkesbury,7419,3804 89 7162 001 0006,11.99,741.8,1,2013,R,95.0,2,9999,9999,9999,1,196700,9999,9999
119 1RE AVENUE,9999,22035,Stoneham-et-Tewkesbury,7239,3906 19 9954 001,9999.0,9999.0,1,1940,R,160.7,1,9999,9999,9999,1,152400,9999,9999
4 à chemin des ANEMONES,9999,22035,Stoneham-et-Tewkesbury,7499,4120 89 6889,114.8,4000.1,2,9999,9999,9999.0,9999,9999,1,9999,1,380900,9999,9999
rue INDUSTRIELLE,9999,28045,Sainte-Justine,7422,1540 45 2786 07 31,9999.0,7694.2,1,2000,R,27.4,1,9999,9999,9999,9999,44600,9999,9999
146 rue BISSON,9999,28045,Sainte-Justine,7221,1641 16 1329 07 31,68.14,99300.0,1,9999,9999,2614.3,2,9999,9999,9999,1,728900,9999,9999
186 rue LANGEVIN,9999,28045,Sainte-Justine,7425,1641 40 5259 07 31,18.29,2427.9,1,1957,E,533.1,1,9999,9999,9999,1,109700,9999,9999
250 rue PRINCIPALE,9999,28045,Sainte-Justine,7219,1641 52 0564 07 31,32.61,3043.7,1,1940,E,369.7,1,9999,9999,9999,2,266500,9999,9999
11 rue des ERABLES,9999,93012,Métabetchouan—Lac-à-la-Croix,7222,0365 58 5111,10.0,63595.9,1,9999,9999,9999.0,9999,9999,9999,9999,1,3964800,9999,9999
348 rue ST-JEAN,9999,93012,Métabetchouan—Lac-à-la-Croix,7433,0964 74 2350,10.98,11406.0,1,1970,R,74.4,1,9999,9999,9999,1,183400,9999,9999
335 rue de ROUILLAC,9999,93012,Métabetchouan—Lac-à-la-Croix,7290,0964 82 2746,46.27,5127.3,2,9999,9999,9999.0,9999,9999,9999,9999,1,1193400,9999,9999
505 5E CHEMIN,9999,93012,Métabetchouan—Lac-à-la-Croix,7499,0972 01 6505,62.39,2260.7,1,1987,R,112.9,1,1,9999,9999,1,248800,9999,9999
165 route de la MONTAGNE,9999,93012,Métabetchouan—Lac-à-la-Croix,7499,1059 03 4327,71.75,2143.4,1,1990,R,166.5,1,9999,9999,9999,1,65400,9999,9999
101 101 B rue COLLIN,9999,12005,Saint-Cyprien,7222,1406 65 8218,79.3,427665.2,1,9999,9999,9999.0,9999,9999,9999,9999,2,3686300,9999,9999
104 rue du CENTENAIRE,9999,12005,Saint-Cyprien,7219,1506 79 7394,50.29,1360.6,1,1960,R,221.2,1,1,9999,9999,1,161600,9999,9999
132 rue de l' EGLISE,9999,12005,Saint-Cyprien,7239,1507 52 9488,12.81,250.6,2,1948,R,216.3,2,5,9999,9999,1,58300,9999,9999
185 rue PRINCIPALE,9999,12005,Saint-Cyprien,7219,1507 62 1040,37.05,4289.1,1,9999,9999,9999.0,9999,9999,9999,9999,1,1859900,9999,9999
chemin RAUDOT SUD,9999,12005,Saint-Cyprien,7611,1808 03 5462,50.0,6000.2,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,5600,9999,9999
291 chemin du CAP,9999,77030,Piedmont,7433,5584 03 5589,31.94,1778.5,9999,1975,R,9999.0,9999,9999,9999,9999,9999,23600,9999,9999
222 chemin des CASCADELLES,9999,77030,Piedmont,7433,5683 84 8655,9999.0,271464.7,9999,1982,E,9999.0,9999,9999,9999,9999,9999,1504800,9999,9999
434 440 chemin AVILA,9999,77030,Piedmont,7419,5682 48 8626,278.79,115278.8,1,1970,R,228.7,1,9999,9999,9999,6,2481300,9999,9999
chemin des BOIS-BLANCS,9999,77030,Piedmont,7433,5685 29 1987,42.15,682.4,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,26000,9999,9999
chemin du NORDAIS,9999,77030,Piedmont,7433,5584 26 6498,44.77,1339.4,9999,1989,R,9999.0,9999,9999,9999,9999,9999,132100,9999,9999
chemin de la RIVIERE,9999,77030,Piedmont,7421,5685 30 1840,53.83,2481.3,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,0,9999,9999
685 boulevard des LAURENTIDES,9999,77030,Piedmont,7423,5584 88 0862 001,9999.0,2787.1,9999,9999,9999,9999.0,9999,9999,9999,9999,1,66600,9999,9999
895 boulevard des LAURENTIDES,9999,77030,Piedmont,7425,5485 79 3559,112.59,30400.7,1,1957,R,915.0,1,9999,9999,9999,10,5368100,9999,9999
136200 CTON CLORIDORME (NON-DIVISEE),9999,3010,Cloridorme,7499,7346 77 6379,9999.0,4000.0,1,1992,R,178.4,1,9999,9999,9999,1,44100,9999,9999
570 route 132,9999,3010,Cloridorme,7451,8048 18 4013,31.3,18142.9,1,9999,9999,9999.0,9999,9999,9999,9999,2,236700,9999,9999
2 route du PORTAGE,9999,3010,Cloridorme,7424,8148 61 8840,171.89,55435.2,1,2017,R,213.6,1,9999,9999,9999,1,983200,9999,9999
109 109 A 125E RUE,9999,27028,Beauceville,7432,8319 91 7864,98.75,69500.0,1,1967,R,712.3,1,9999,9999,9999,1,1418200,9999,9999
757 route du PRÉSIDENT-KENNEDY,9999,27028,Beauceville,7611,8517 57 1330,139.95,52600.0,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,58800,9999,9999
chemin PRIVE,9999,27028,Beauceville,7433,8418 81 4868,9999.0,4672.7,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,18900,9999,9999
550 rang de la PLÉE,9999,27028,Beauceville,7499,8324 16 4385,176.32,184900.0,1,1967,R,256.6,1,1,9999,9999,1,204900,9999,9999
210 8E RUE OUEST,9999,29030,La Guadeloupe,7222,7090 19 4953,396.89,75656.6,1,1975,R,1988.5,1,9999,9999,9999,1,3250700,9999,9999
6 chemin SCOTT,9999,46075,Lac-Brome,7611,7004 54 6906,26.36,14858.6,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,37300,9999,9999
26 chemin MCCURDY,9999,46075,Lac-Brome,7219,7004 92 0072,25.21,1293.5,1,1930,R,230.2,1,9999,9999,9999,1,170800,9999,9999
218 chemin IRON HILL,9999,46075,Lac-Brome,7424,7313 42 1460,36.97,2481.7,1,1933,R,161.7,1,1,9999,9999,1,176700,9999,9999
5 chemin MILL,9999,46075,Lac-Brome,7219,7811 99 7458,119.7,8379.5,1,1983,R,348.7,1,1,9999,9999,1,369400,9999,9999
62 rue DAVIS,9999,46075,Lac-Brome,7424,7817 88 1179,9999.0,3021.7,1,1964,R,127.3,1,1,9999,9999,1,237000,9999,9999
chemin SUGAR HILL,9999,46075,Lac-Brome,7611,8006 96 1595,588.13,16637.8,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,100,9999,9999
chemin MOFFAT,9999,46075,Lac-Brome,7611,8007 61 0894,102.94,8946.4,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,100,9999,9999
rue des BOURGEONS,9999,46075,Lac-Brome,7611,8008 18 8508,63.72,4893.3,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,100,9999,9999
rue des ALIZES,9999,46075,Lac-Brome,7433,8011 22 7796,37.0,1339.7,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,100,9999,9999
270 280 rue VICTORIA,9999,46075,Lac-Brome,7239,8109 01 2249,237.28,27971.2,1,2007,R,1422.0,1,9999,9999,9999,9999,3525500,9999,9999
221 chemin LAKESIDE,9999,46075,Lac-Brome,7219,8310 10 2182,9999.0,8242.7,1,9999,9999,9999.0,9999,9999,9999,9999,1,1422700,9999,9999
chemin FOSTER,9999,46075,Lac-Brome,7611,8316 07 3403,93.97,8710.0,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,100,9999,9999
rue du PARCOURS,9999,46075,Lac-Brome,7611,8316 22 5159,118.78,62505.0,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,100,9999,9999
25 rue TAYLOR,9999,46075,Lac-Brome,7424,8317 70 4530,207.02,8146.5,1,1980,R,226.3,1,9999,9999,9999,1,260400,9999,9999
3382 ROUTE 132 OUEST,PARC DU BIC,10043,Rimouski,7611,1057 46 4183,3139.46,9490966.0,2,9999,9999,9999.0,9999,9999,9999,9999,1,4049400,9999,9999
PARC DU BIC,9999,10043,Rimouski,7611,1057 46 4184,9999.0,4177.0,1,9999,9999,29.2,1,1,9999,9999,1,112500,9999,9999
126 rue du MONT-SAINT-LOUIS,9999,10043,Rimouski,7424,1559 58 7099,34.59,5201.9,2,1955,R,544.0,1,9999,9999,9999,1,681400,9999,9999
2645 2651 ROUTE 132 EST,9999,10043,Rimouski,7219,1660 83 1593,160.36,45918.2,1,9999,9999,9999.0,9999,9999,9999,9999,1,1694500,9999,9999
400 boulevard de la RIVIÈRE,201 rue TESSIER,10043,Rimouski,7424,2766 76 8874,1515.7,515735.9,1,9999,9999,9999.0,9999,9999,9999,9999,1,2531600,9999,9999
455 rue CARTIER,9999,10043,Rimouski,7219,2767 14 0990,80.04,19939.4,1,9999,9999,9999.0,9999,9999,9999,9999,1,2491200,9999,9999
360 boulevard SAINT-GERMAIN,9999,10043,Rimouski,7419,2767 67 5431,60.84,3778.6,2,1940,R,683.5,1,9999,9999,9999,1,449300,9999,9999
387 rue des PASSEREAUX,9999,10043,Rimouski,7423,2866 82 7267,157.02,21029.0,1,1989,R,255.3,1,9999,9999,9999,1,1929700,9999,9999
215 rue TESSIER,9999,10043,Rimouski,7239,2867 25 5242,39.53,1715.4,2,2004,R,578.2,1,9999,9999,9999,1,990000,9999,9999
210 rue TESSIER,9999,10043,Rimouski,7425,2867 36 7041 001 0001,9999.0,3574.5,1,1954,R,1347.7,1,9999,9999,9999,1,1021000,9999,9999
208 rue TESSIER,9999,10043,Rimouski,7425,2867 36 7041 001 0002,9999.0,1361.7,1,1954,R,486.1,1,9999,9999,9999,1,196900,9999,9999
204 206 rue TESSIER,9999,10043,Rimouski,7419,2867 36 7041 001 0003,9999.0,2314.4,1,1954,R,821.7,3,9999,9999,9999,1,302000,9999,9999
358 avenue SIROIS,9999,10043,Rimouski,7433,2867 80 7292,88.96,13791.4,1,9999,9999,9999.0,9999,9999,9999,9999,1,2125500,9999,9999
95 rue de l' ÉVÊCHÉ OUEST,9999,10043,Rimouski,7219,2868 80 1531,24.38,744.3,2,1947,R,255.9,1,5,9999,9999,1,324700,9999,9999
111 rue 2E OUEST,9999,10043,Rimouski,7451,2967 24 6727,266.7,37321.3,1,1966,R,5769.9,1,9999,9999,9999,1,13864700,9999,9999
313 avenue de la CATHÉDRALE,9999,10043,Rimouski,7451,2967 29 5687,37.05,11098.4,1,1973,R,2612.7,1,9999,9999,9999,1,3719800,9999,9999
416 avenue ROULEAU,9999,10043,Rimouski,7423,2967 63 0816,205.46,209479.4,1,9999,9999,9999.0,9999,9999,9999,9999,1,11540500,9999,9999
275 avenue de la CATHÉDRALE,9999,10043,Rimouski,7433,2968 11 6942,39.76,2658.0,1,1954,R,251.9,1,9999,9999,9999,1,581600,9999,9999
150 rue 2E EST,9999,10043,Rimouski,7222,2968 83 8071,190.63,34998.8,9999,2019,R,10913.9,1,9999,9999,9999,1,44050200,9999,9999
283 rue SAINT-GERMAIN EST,292 294 rue TACHÉ,10043,Rimouski,7425,2969 53 8731,68.85,3165.5,1,1962,R,1201.0,2,9999,9999,9999,1,886900,9999,9999
147 rue LÉONARD,9999,10043,Rimouski,7399,2969 63 1757,54.96,1353.8,1,1962,R,495.9,2,9999,9999,9999,1,318000,9999,9999
129 rue TALBOT,9999,10043,Rimouski,7219,2969 75 4988,162.31,14057.2,1,2005,R,503.5,1,9999,9999,9999,1,2241900,9999,9999
52 montée INDUSTRIELLE-ET-COMMERCIALE,9999,10043,Rimouski,7425,3070 04 2089 001 0001,9999.0,1518.5,1,1979,R,423.2,9999,9999,9999,9999,1,200400,9999,9999
547 rue SAINT-GERMAIN,9999,10043,Rimouski,7239,3071 02 6446,48.07,6729.8,1,1959,R,902.2,1,9999,9999,9999,1,2177400,9999,9999
550 rue SAINT-GERMAIN,9999,10043,Rimouski,7239,3071 03 0811,14.6,539.1,1,1965,R,80.5,1,1,9999,9999,1,112100,9999,9999
25 avenue 3E,9999,10043,Rimouski,7222,3071 85 5079,90.46,52943.9,1,9999,9999,9999.0,9999,9999,9999,9999,1,1610400,9999,9999
rue du SIEUR,9999,10043,Rimouski,7611,3172 89 5439,22.23,435.8,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,100,9999,9999
avenue des PLUVIERS,9999,10043,Rimouski,7611,3172 98 2969,17.05,568.1,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,100,9999,9999
19 rue du PAVILLON,9999,10043,Rimouski,7423,3358 82 5818,259.67,28537.6,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,166400,9999,9999
400 avenue J.-ROGER-LEBEL,907 rue des VÉTÉRANS,10043,Rimouski,7424,3474 14 9611,263.18,138371.6,1,9999,9999,9999.0,9999,9999,9999,9999,1,1926600,9999,9999
58 chemin du RANG-DOUBLE,9999,10043,Rimouski,7239,3857 82 2535,57.91,2474.0,1,1954,R,226.8,1,9999,9999,9999,1,62200,9999,9999
rue Chez-soi,9999,56015,Noyan,7422,1889 63 4529,395.53,4790.4,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,70700,9999,9999
2013 chemin de la Petite france,9999,56015,Noyan,7219,2195 01 1407,59.6,1670.3,1,9999,9999,169.1,1,9999,9999,9999,1,186200,9999,9999
rue BERGERON,9999,73010,Sainte-Thérèse,7611,7557 52 0850,115.79,5526.6,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,714600,9999,9999
rue BLANCHE-GIGUÈRE,9999,73010,Sainte-Thérèse,7611,7557 99 8176,104.41,6751.8,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,428300,9999,9999
rue ANDRÉ-PONTBRIAND,9999,73010,Sainte-Thérèse,7611,7655 96 5579,40.28,2338.3,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,209900,9999,9999
rue LÉONARD,9999,73010,Sainte-Thérèse,7422,7657 22 3112,274.2,59841.4,1,9999,9999,57.0,1,9999,9999,9999,1,2154900,9999,9999
rue DE ROUSSY,9999,73010,Sainte-Thérèse,7611,7755 46 7240,94.79,2318.1,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,168700,9999,9999
rue des ÉRABLES,9999,73010,Sainte-Thérèse,7611,7755 63 2975,161.04,4016.2,9999,9999,9999,9999.0,9999,9999,9999,9999,9999,435200,9999,9999
37 rue BLAINVILLE OUEST,9999,73010,Sainte-Thérèse,7219,7755 95 8060,25.92,551.2,1,1960,R,354.9,1,9999,9999,9999,1,746800,9999,9999
